trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_predicted_return,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2024-09-27,"PCH,FCN,TCI",3,-0.02235039042498717,-0.010838774334020782,0.0066274070082559255,0.004,-0.026350390424987172,-0.02235039042498721,-0.026350390424987213,-0.010838774334020806
2024-09-30,"TDT,KGM,S99,CRE,EVS,VTD,VIG,VPH,NAF",9,-0.02131912557527778,-0.015139661049527374,0.007671601372010617,0.004,-0.02531912557527778,-0.04319302522013824,-0.05100234715613716,-0.025814340013938786
2024-10-01,"CRE,ITD",2,0.009138499979630232,-0.0216832980773513,0.004999201373424245,0.004,0.005138499979630232,-0.0344492447006024,-0.04612592273632987,-0.046937898062097694
2024-10-02,"VPH,TCI,NHH,TDC,FCN",5,-0.017831703256077126,-0.022626564080314434,0.00708343588042899,0.004,-0.021831703256077126,-0.051666659247782354,-0.06695061853481465,-0.06850241878411478
2024-10-03,"EVS,MAC,PCH,VIG,VPH,GDA,BMS",7,0.008506303610965984,-0.0021299772067915096,0.008810102117112781,0.004,0.004506303610965984,-0.04359984792694227,-0.06274601473790842,-0.07048648740028607
2024-10-04,"DCL,GDA,D2D,BMS,CRE",5,-0.03242922432877997,-0.008435402354131372,0.007251739652790556,0.004,-0.03642922432877997,-0.07461516300659865,-0.09688945042006414,-0.07832730787266662
2024-10-07,"D2D,CSM,ELC,NAF,APG",5,-0.006618495583014128,-0.00203962750082868,0.006235836203184552,0.004,-0.010618495583014129,-0.08073981846282774,-0.10647912580175212,-0.08020717684229228
2024-10-08,"ELC,GDA,NAF,TCI,DSC,VIG,GSP,MAC,VPG",9,-0.006534567218150477,-0.0006044337110757885,0.008067828839943095,0.004,-0.010534567218150477,-0.08674678591005158,-0.11589198151181412,-0.0807631306318144
2024-10-09,"D2D,CTI,GDA,ELC",4,-0.026827947175912942,-0.01464782582863209,0.007262952140916101,0.004,-0.030827947175912942,-0.11124749489588948,-0.143147216803569,-0.09422795218957658
2024-10-10,"PRE,PCH,GDA,ITD,MAC,HT1,SAM",7,0.005343515213306164,-0.004384131613908291,0.007151050207531056,0.004,0.0013435152133061635,-0.1064984323640017,-0.14199602205378092,-0.09819897605937666
2024-10-11,"VPH,PCH,GDA,NAF,VPG,HCD",6,-0.005408596499445417,-0.024743173682836274,0.007123911001352234,0.004,-0.009408596499445417,-0.11133102181496679,-0.15006863527719594,-0.12051239542209913
