feature,importance
close,0.71283996
low,0.16953313
ma_5,0.09219052
open,0.010008613
high,0.009195088
ma_20,0.0036559496
volume,0.00019512944
price_vs_ma20,0.00018758755
volatility_20d,0.0001632601
volatility_5d,0.00015041315
return_5d,0.00014804784
drawdown_20d,0.00014654668
ma_50,0.00014252827
volume_ma_20,0.00013886591
volume_ma_5,0.0001311466
ma5_vs_ma20,0.00012864907
volume_ratio_5_20,0.00012036018
return_10d,0.00011980438
return_1d,0.000106530766
return_20d,0.00010348952
return_3d,9.476079e-05
rolling_max_20d,9.4753035e-05
close_position,9.366504e-05
daily_range,8.643779e-05
volatility_change,7.857289e-05
volume_change_1d,7.778277e-05
body_ratio,6.8406385e-05
