symbol,date,open,high,low,close,volume
ZZZZZZ,2023-12-27 07:00:00,54.78,54.78,54.78,54.78,300.0
123,2025-07-17 07:00:00,20.5,21.0,17.4,20.1,400.0
123,2026-02-04 07:00:00,66.0,66.0,62.0,63.0,900.0
123,2021-01-15 07:00:00,14.68,14.85,14.35,14.85,4175.0
ZZZZZZ,2024-05-07 07:00:00,8.4,8.4,8.2,8.27,100600.0
ZZZZZZ,2017-08-14 07:00:00,7.03,7.14,7.03,7.05,38600.0
123,2018-06-27 07:00:00,5.52,5.54,5.52,5.54,3500.0
123,2021-08-31 07:00:00,37.51,39.89,37.4,39.83,52890.0
123,2023-04-03 07:00:00,16.79,16.95,16.06,16.71,728980.0
ZZZZZZ,2019-06-14 07:00:00,7.56,7.67,7.53,7.64,24410.0
ZZZZZZ,2021-01-27 07:00:00,15.89,16.33,15.1,15.14,9544300.0
ZZZZZZ,2023-07-11 07:00:00,18.39,18.78,18.39,18.6,14508800.0
ZZZZZZ,2025-07-18 07:00:00,30.88,31.26,30.57,30.92,8291000.0
ZZZZZZ,2023-08-04 07:00:00,17.5,17.5,17.2,17.3,686200.0
123,2018-12-06 07:00:00,3.9,3.9,3.8,3.8,2500.0
123,2020-09-03 07:00:00,4.4,4.7,4.2,4.6,178576.0
123,2024-06-25 07:00:00,7.0,7.4,6.6,7.4,173782.0
ZZZZZZ,2024-09-20 07:00:00,37.0,37.5,33.5,37.5,627251.0
123,2025-08-26 07:00:00,26.7,26.7,26.7,26.7,600.0
123,2019-03-26 07:00:00,6.11,6.11,6.11,6.11,15000.0
ZZZZZZ,2016-11-30 07:00:00,5.79,5.8,5.79,5.8,3200.0
ZZZZZZ,2021-09-15 07:00:00,31.39,31.67,31.16,31.55,192900.0
ZZZZZZ,2023-04-13 07:00:00,16.23,16.23,15.81,16.11,46100.0
123,2018-10-15 07:00:00,6.18,6.26,6.18,6.26,142140.0
ZZZZZZ,2022-01-26 07:00:00,15.19,16.75,15.19,15.43,400.0
ZZZZZZ,2022-06-24 07:00:00,14.27,14.27,14.27,14.27,2600.0
123,2020-09-17 07:00:00,22.53,22.7,22.48,22.63,7830.0
123,2020-02-25 07:00:00,5.48,5.48,5.48,5.48,1000.0
123,2017-11-30 07:00:00,21.48,21.58,21.29,21.58,27370.0
ZZZZZZ,2024-07-24 07:00:00,27.85,28.1,26.85,28.05,377500.0
123,2019-03-26 07:00:00,9.77,9.82,9.7,9.75,190279.0
123,2021-11-05 07:00:00,61.48,64.73,60.66,63.26,3567900.0
123,2023-10-20 07:00:00,81.08,82.16,77.55,82.07,5009000.0
123,2023-12-25 07:00:00,38.49,39.69,38.49,39.69,1704400.0
ZZZZZZ,2024-04-17 07:00:00,39.52,39.52,38.44,38.58,66800.0
ZZZZZZ,2024-07-23 07:00:00,39.95,40.19,37.99,38.92,59700.0
123,2024-10-01 07:00:00,38.27,38.78,38.27,38.45,94000.0
123,2024-08-26 07:00:00,9.1,9.1,9.0,9.0,3208.0
ZZZZZZ,2024-05-07 07:00:00,14.42,14.42,14.21,14.21,500.0
123,2017-09-12 07:00:00,7.03,7.03,7.03,7.03,46.0
123,2025-02-05 07:00:00,14.03,14.12,14.03,14.12,422.0
123,2016-02-25 07:00:00,5.45,5.45,5.27,5.27,1839750.0
ZZZZZZ,2016-11-30 07:00:00,4.27,4.28,4.19,4.19,2030650.0
ZZZZZZ,2021-05-07 07:00:00,3.06,3.14,2.95,2.97,6779300.0
ZZZZZZ,2019-05-16 07:00:00,15.29,15.29,15.29,15.29,1000.0
123,2025-07-17 07:00:00,8.9,11.5,8.9,11.5,200.0
123,2022-06-13 07:00:00,32.93,33.9,32.85,32.85,698000.0
ZZZZZZ,2023-11-29 07:00:00,27.05,27.32,27.05,27.18,91600.0
