date,open,high,low,close,volume
2022-01-04 07:00:00,59.4,61.55,59.4,61.36,395300.0
2022-01-05 07:00:00,61.75,62.41,61.75,62.26,322300.0
2022-01-06 07:00:00,62.14,62.22,60.97,61.2,75300.0
2022-01-07 07:00:00,61.24,61.24,60.21,60.65,114100.0
2022-01-10 07:00:00,61.0,61.0,59.82,60.17,195900.0
2022-01-11 07:00:00,60.17,60.57,59.58,60.53,129700.0
2022-01-12 07:00:00,60.49,60.53,59.74,60.49,163300.0
2022-01-13 07:00:00,60.57,60.61,59.78,59.78,120000.0
2022-01-14 07:00:00,59.38,60.21,59.38,60.13,80400.0
2022-01-17 07:00:00,60.17,61.32,58.98,59.38,185000.0
2022-01-18 07:00:00,59.42,60.53,59.42,59.78,269400.0
2022-01-19 07:00:00,60.17,60.17,58.98,59.38,111500.0
2022-01-20 07:00:00,58.39,60.8,57.95,59.38,238100.0
2022-01-21 07:00:00,60.13,60.13,57.4,58.59,108700.0
2022-01-24 07:00:00,58.71,58.71,57.2,57.4,161600.0
2022-01-25 07:00:00,57.36,58.79,56.57,57.4,155900.0
2022-01-26 07:00:00,57.4,57.4,56.61,56.89,130100.0
2022-01-27 07:00:00,57.4,58.94,57.0,58.9,157500.0
2022-01-28 07:00:00,58.9,59.3,58.23,58.86,164800.0
2022-02-07 07:00:00,59.18,61.36,59.18,60.21,75700.0
2022-02-08 07:00:00,60.76,61.28,60.13,61.28,123100.0
2022-02-09 07:00:00,61.12,61.28,59.78,60.88,75900.0
2022-02-10 07:00:00,61.28,62.15,59.89,62.15,208500.0
2022-02-11 07:00:00,62.19,63.18,61.56,63.18,223800.0
2022-02-14 07:00:00,61.44,66.47,61.44,66.47,342500.0
2022-02-15 07:00:00,66.43,67.46,66.07,67.3,430400.0
2022-02-16 07:00:00,67.42,67.42,65.32,66.66,107500.0
2022-02-17 07:00:00,66.47,68.17,66.31,67.5,311500.0
2022-02-18 07:00:00,66.5,67.26,66.03,67.06,189100.0
2022-02-21 07:00:00,66.9,67.3,66.11,67.14,105500.0
2022-02-22 07:00:00,66.86,66.86,63.34,66.66,118400.0
2022-02-23 07:00:00,66.54,67.46,66.54,67.22,150800.0
2022-02-24 07:00:00,65.75,67.46,65.52,67.18,162700.0
2022-02-25 07:00:00,66.98,67.3,66.5,67.14,88000.0
2022-02-28 07:00:00,66.9,67.26,65.95,67.22,70600.0
2022-03-01 07:00:00,67.22,67.22,66.31,66.5,42900.0
2022-03-02 07:00:00,66.7,67.5,66.31,67.5,93200.0
2022-03-03 07:00:00,67.3,67.46,66.74,66.74,23700.0
2022-03-04 07:00:00,66.31,66.31,63.91,63.91,111700.0
2022-03-07 07:00:00,62.91,63.87,61.15,61.75,286400.0
2022-03-08 07:00:00,61.23,62.15,61.19,62.15,96800.0
2022-03-09 07:00:00,61.79,64.31,61.51,61.91,178800.0
2022-03-10 07:00:00,61.91,63.51,61.91,62.71,143000.0
2022-03-11 07:00:00,63.43,63.43,61.39,61.51,133700.0
2022-03-14 07:00:00,61.11,61.87,60.31,61.51,154500.0
2022-03-15 07:00:00,61.51,61.51,60.11,60.43,138100.0
2022-03-16 07:00:00,60.51,61.55,60.19,61.51,143000.0
2022-03-17 07:00:00,62,62,61,62,"41,700"
2022-03-18 07:00:00,61.79,61.87,60.51,60.51,240200.0
2022-03-21 07:00:00,61.47,61.47,60.75,60.79,66500.0
2022-03-22 07:00:00,61.43,61.67,61.03,61.30625268929975,117300.0
2022-03-23 07:00:00,61.51,63.91,61.07,62.91,145400.0
2022-03-24 07:00:00,63.03,63.07,61.91,63.03,95200.0
2022-03-25 07:00:00,63.11,63.11,62.27,62.91,122600.0
2022-03-28 07:00:00,63.15,63.15,61.51,62.95,78100.0
2022-03-29 07:00:00,62.95,63.47,62.03,63.11,170100.0
