Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
5,100000,10.0,0.65,0.0,0.001,0.001,0.004,5519,141,389,3,6.1223388097364506e-06,-2.4725990239106765e-05,-0.005363958330579677,-0.017304083240624935,-0.8326823497864856,0.5141388174807198,0.015385542869354075,-0.06207927947416839
10,100000,10.0,0.65,0.0,0.001,0.001,0.004,5519,141,389,3,6.1223388097364506e-06,-2.4725990239106765e-05,-0.005363958330579677,-0.017304083240624935,-0.8326823497864856,0.5141388174807198,0.015385542869354075,-0.06207927947416839
20,100000,10.0,0.65,0.0,0.001,0.001,0.004,5519,141,389,3,6.1223388097364506e-06,-2.4725990239106765e-05,-0.005363958330579677,-0.017304083240624935,-0.8326823497864856,0.5141388174807198,0.015385542869354075,-0.06207927947416839
5,200000,5.0,0.65,0.0,0.001,0.001,0.004,3998,148,389,3,-2.839892501094976e-05,-5.9247254059792976e-05,-0.018708418552375372,-0.03054124965293159,-0.9627651325056273,0.2570694087403599,-0.07101168875991606,-0.1475112404179007
5,200000,10.0,0.65,0.0,0.001,0.001,0.004,2599,106,389,3,-2.839892501094976e-05,-5.9247254059792976e-05,-0.018708418552375372,-0.03054124965293159,-0.9633084491025498,0.2570694087403599,-0.07101168875991606,-0.1475112404179007
10,200000,5.0,0.65,0.0,0.001,0.001,0.004,3998,148,389,3,-2.839892501094976e-05,-5.9247254059792976e-05,-0.018708418552375372,-0.03054124965293159,-0.9627651325056273,0.2570694087403599,-0.07101168875991606,-0.1475112404179007
10,200000,10.0,0.65,0.0,0.001,0.001,0.004,2599,106,389,3,-2.839892501094976e-05,-5.9247254059792976e-05,-0.018708418552375372,-0.03054124965293159,-0.9633084491025498,0.2570694087403599,-0.07101168875991606,-0.1475112404179007
20,200000,5.0,0.65,0.0,0.001,0.001,0.004,3998,148,389,3,-2.839892501094976e-05,-5.9247254059792976e-05,-0.018708418552375372,-0.03054124965293159,-0.9627651325056273,0.2570694087403599,-0.07101168875991606,-0.1475112404179007
20,200000,10.0,0.65,0.0,0.001,0.001,0.004,2599,106,389,3,-2.839892501094976e-05,-5.9247254059792976e-05,-0.018708418552375372,-0.03054124965293159,-0.9633084491025498,0.2570694087403599,-0.07101168875991606,-0.1475112404179007
5,100000,5.0,0.45,0.0,0.001,0.001,0.004,8514,191,389,150,0.0018722245826006722,0.0003298081301585115,0.5819171915623185,-0.13221483706161152,-0.8746277253970194,18.50899742930591,0.7953651396569091,0.14038327623229302
