trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2024-10-15,"MSB,VPH",2,-0.048511576626240394,-0.016369296206794264,0.463606595993042,0.004,-0.0525115766262404,-0.048511576626240394,-0.0525115766262404,-0.01636929620679428
2024-10-16,,0,0.0,-0.008535402478689775,0.0,0.0,0.0,-0.048511576626240394,-0.0525115766262404,-0.02476498015406614
2024-10-17,NHA,1,0.0019607843137257053,-0.025172640823611304,0.46887192130088806,0.004,-0.002039215686274295,-0.04664591305099752,-0.054443709881747515,-0.049314221027255245
2024-10-18,MSB,1,-0.06071757129714794,-0.028938828863289214,0.45793598890304565,0.004,-0.06471757129714795,-0.10453125779675099,-0.11563781650294225,-0.07682595408771031
2024-10-21,,0,0.0,-0.01765314855774297,0.0,0.0,0.0,-0.10453125779675099,-0.11563781650294225,-0.09312288266485258
2024-10-22,,0,0.0,-0.003071613561149984,0.0,0.0,0.0,-0.10453125779675099,-0.11563781650294225,-0.0959084587167558
2024-10-23,ACC,1,0.01908396946564883,-0.007563541608758466,0.4865415096282959,0.004,0.015083969465648831,-0.0874421596631012,-0.10229812433049812,-0.10274659270737818
2024-10-24,"ACC,MSB",2,0.0076045627376425395,0.004944554635679833,0.45593297481536865,0.004,0.0036045627376425395,-0.08050255631453174,-0.09906230159994789,-0.09831007421296989
2024-10-25,CTP,1,0.04857142857142871,-0.0029060473958891536,0.4501648545265198,0.004,0.044571428571428706,-0.035841251906951754,-0.05890622132840262,-0.10093042787370277
2024-10-28,,0,0.0,-0.01244129539627301,0.0,0.0,0.0,-0.035841251906951754,-0.05890622132840262,-0.11211601800232684
2024-10-29,HPX,1,-0.04474708171206221,-0.01719986930380415,0.490249365568161,0.004,-0.04874708171206221,-0.07898454219127093,-0.10478179665602039,-0.12738750644962804
2024-10-30,,0,0.0,-0.002096790877512839,0.0,0.0,0.0,-0.07898454219127093,-0.10478179665602039,-0.12921719236570817
2024-10-31,"TMT,HPX,DCL",3,0.05572677416933266,0.003752738739107785,0.478303462266922,0.004,0.05172677416933266,-0.027659321767499412,-0.05847504681937066,-0.12594937199014988
2024-11-01,HPX,1,-0.03131115459882583,0.0023184096607694496,0.4828486740589142,0.004,-0.035311154598825834,-0.058104431066364426,-0.09172137999978414,-0.12392296457017038
2024-11-04,"PCH,HPX",2,-0.026041666666666574,0.01693335462828262,0.4596230983734131,0.004,-0.030041666666666574,-0.08263296150734434,-0.11900758354229046,-0.10908804144754258
2024-11-05,,0,0.0,0.01782765152752359,0.0,0.0,0.0,-0.08263296150734434,-0.11900758354229046,-0.09320517350876589
2024-11-06,,0,0.0,0.0041218238406121556,0.0,0.0,0.0,-0.08263296150734434,-0.11900758354229046,-0.08946752497439048
2024-11-07,HPX,1,-0.06930693069306926,-0.008802834216387126,0.4822152554988861,0.004,-0.07330693069306926,-0.14621285526426098,-0.18359043355667537,-0.09748279140067762
2024-11-08,,0,0.0,-0.02264903155069842,0.0,0.0,0.0,-0.14621285526426098,-0.18359043355667537,-0.11792393213329189
2024-11-11,VOS,1,-0.07912687585266032,-0.02682858027403797,0.4859119951725006,0.004,-0.08312687585266032,-0.21377036467036314,-0.2514560102313339,-0.14158878072786163
2024-11-12,"HAG,VOS",2,-0.030023745562697823,-0.03641856149136222,0.47138017416000366,0.004,-0.03402374556269783,-0.23737592319535283,-0.2769242804817097,-0.17285088250179925
2024-11-13,,0,0.0,-0.0305595886367672,0.0,0.0,0.0,-0.23737592319535283,-0.2769242804817097,-0.1981282192738093
2024-11-14,,0,0.0,-0.009387134918042165,0.0,0.0,0.0,-0.23737592319535283,-0.2769242804817097,-0.20565549786645687
2024-11-15,"HBS,VOS,ITD",3,-0.04065412711842183,0.0007657998299858671,0.46356821060180664,0.004,-0.04465412711842183,-0.26837973935733805,-0.30921259557732383,-0.20504718898177277
2024-11-18,"ANT,VOS,NVL",3,-0.01693669880443734,0.007676466776829583,0.5055082440376282,0.004,-0.02093669880443734,-0.28077097135106677,-0.3236754034016205,-0.198944760138844
2024-11-19,"VOS,HAG",2,0.053635477582846036,0.02845003025877379,0.48442375659942627,0.004,0.04963547758284603,-0.24219477890803476,-0.29010570904843425,-0.17615471432584484
2024-11-20,HAG,1,0.008583690987124415,0.017764732858566633,0.4551278054714203,0.004,0.004583690987124415,-0.23569001306175186,-0.2868517729851885,-0.16151932290905402
2024-11-21,"VOS,CSM",2,0.08371571255013766,0.014296276957684102,0.4627876877784729,0.004,0.07971571255013765,-0.17170525789602997,-0.23000265391483543,-0.14953217092569526
2024-11-22,"CSM,VOS",2,0.05792583606075008,0.02278074764134239,0.4693616032600403,0.004,0.053925836060750076,-0.1237255924549342,-0.1884799032626343,-0.1301578779344732
2024-11-25,"ANV,ANT,POW,VOS",4,0.037891986762839336,0.01517448649065406,0.46396175026893616,0.004,0.03389198676283933,-0.09052181420362171,-0.16097587488623344,-0.11695847040418805
2024-11-26,"NHA,VOS,NVL,CSM",4,0.0072834929143122396,0.009722463605448298,0.48459333181381226,0.004,0.0032834929143122395,-0.08389763628165225,-0.15822094511648543,-0.10837313127059345
2024-11-27,"NVL,VOS,DRI",3,-0.011158143284957345,0.004623104550496346,0.4611315429210663,0.004,-0.015158143284957345,-0.09411963771970966,-0.1709807526446857,-0.10425104703642574
2024-11-28,"NHA,CSM,DBD,HAG",4,0.027875488232571605,0.023828631762446803,0.47200262546539307,0.004,0.023875488232571605,-0.06886778034084773,-0.15118751335987857,-0.08290657508465948
2024-11-29,"DBD,VOS,NVL,NHA,MIG,POW,HAG",7,0.02417497214412334,0.016522290686505254,0.4709239602088928,0.004,0.02017497214412334,-0.046357684868092,-0.1340627450863301,-0.06775409093152551
2024-12-02,"VOS,NHA,POW,NVL",4,0.028657450247904698,0.026203801888453705,0.4760400652885437,0.004,0.024657450247904698,-0.019028727667902756,-0.11271094030548912,-0.043325703818973826
2024-12-03,"NHA,IMP,VOS,EVG,HAG,CSM",6,0.032879008153387866,0.02281489636564359,0.4660296142101288,0.004,0.028879008153387866,0.01322463479334357,-0.0870869123161595,-0.02149927889592873
2024-12-04,"VOS,NHA",2,0.021921657699534414,0.03162116939187659,0.4752395451068878,0.004,0.017921657699534414,0.035436198410019104,-0.07072599644926458,0.009442058156176492
2024-12-05,"NHA,EVG,L14,ANV,POW,VCI,CSM",7,0.02263993970905836,0.008234541617122944,0.47817137837409973,0.004,0.01863993970905836,0.058878411514598605,-0.05340438504988354,0.017754350794137785
