column,count,mean,std,min,25%,50%,75%,max
open,722325.0,14.767350569342055,17.531371541837327,-330.75,5.53,9.84,17.59,410.44
high,722345.0,15.317967273255855,17.51900434075885,0.0,5.77,10.1,18.0,414.72
low,722318.0,14.837430979153224,16.983348479945057,0.0,5.56,9.79,17.41,339.32
close,722284.0,16.24416300806948,24.161204144856978,0.0,5.73,10.1,18.2,1704.623083635884
volume,722306.0,1041548.1957812894,18784986.716821127,-472902400.0,1500.0,15910.0,173800.0,3942868700.0
