Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
20,200000,10.0,0.6,0.0,0.001,0.001,0.004,11463,140,202,0,0.0,0.0,0.0,0.0,-0.45773196356690604,0.0,0.0,0.0
20,200000,10.0,0.65,0.0,0.001,0.001,0.004,11463,140,202,0,0.0,0.0,0.0,0.0,-0.45773196356690604,0.0,0.0,0.0
5,50000,5.0,0.55,0.0,0.001,0.001,0.004,19664,248,202,1,-0.00042840822543792855,-0.00044821020563594837,-0.08653846153846156,-0.09053846153846157,-0.5476546385715119,0.0,-1.1169264758591981,-1.1169264758591977
5,100000,5.0,0.55,0.0,0.001,0.001,0.004,16205,212,202,1,-0.00042840822543792855,-0.00044821020563594837,-0.08653846153846156,-0.09053846153846157,-0.5584239644224305,0.0,-1.1169264758591981,-1.1169264758591977
5,200000,5.0,0.55,0.0,0.001,0.001,0.004,13292,170,202,1,-0.00042840822543792855,-0.00044821020563594837,-0.08653846153846156,-0.09053846153846157,-0.5707565478326967,0.0,-1.1169264758591981,-1.1169264758591977
10,50000,5.0,0.55,0.0,0.001,0.001,0.004,19664,248,202,1,-0.00042840822543792855,-0.00044821020563594837,-0.08653846153846156,-0.09053846153846157,-0.5476546385715119,0.0,-1.1169264758591981,-1.1169264758591977
10,100000,5.0,0.55,0.0,0.001,0.001,0.004,16205,212,202,1,-0.00042840822543792855,-0.00044821020563594837,-0.08653846153846156,-0.09053846153846157,-0.5584239644224305,0.0,-1.1169264758591981,-1.1169264758591977
10,200000,5.0,0.55,0.0,0.001,0.001,0.004,13292,170,202,1,-0.00042840822543792855,-0.00044821020563594837,-0.08653846153846156,-0.09053846153846157,-0.5707565478326967,0.0,-1.1169264758591981,-1.1169264758591977
20,50000,5.0,0.55,0.0,0.001,0.001,0.004,19664,248,202,1,-0.00042840822543792855,-0.00044821020563594837,-0.08653846153846156,-0.09053846153846157,-0.5476546385715119,0.0,-1.1169264758591981,-1.1169264758591977
20,100000,5.0,0.55,0.0,0.001,0.001,0.004,16205,212,202,1,-0.00042840822543792855,-0.00044821020563594837,-0.08653846153846156,-0.09053846153846157,-0.5584239644224305,0.0,-1.1169264758591981,-1.1169264758591977
20,200000,5.0,0.55,0.0,0.001,0.001,0.004,13292,170,202,1,-0.00042840822543792855,-0.00044821020563594837,-0.08653846153846156,-0.09053846153846157,-0.5707565478326967,0.0,-1.1169264758591981,-1.1169264758591977
5,100000,10.0,0.45,0.0,0.001,0.001,0.004,13521,172,202,49,0.0009738002483213131,3.503218618342005e-06,0.10016436435737619,-0.09602690397128744,-0.4312729726883556,12.376237623762377,0.48444441965908236,0.0017453270775590881
10,100000,10.0,0.45,0.0,0.001,0.001,0.004,13521,172,202,49,0.0009738002483213131,3.503218618342005e-06,0.10016436435737619,-0.09602690397128744,-0.4312729726883556,12.376237623762377,0.48444441965908236,0.0017453270775590881
20,100000,10.0,0.45,0.0,0.001,0.001,0.004,13521,172,202,49,0.0009738002483213131,3.503218618342005e-06,0.10016436435737619,-0.09602690397128744,-0.4312729726883556,12.376237623762377,0.48444441965908236,0.0017453270775590881
5,50000,10.0,0.45,0.0,0.001,0.001,0.004,15964,201,202,51,0.0007236115633317014,-0.00028628942676730944,0.03670698421812979,-0.15520257047286212,-0.43775603814134767,12.871287128712872,0.34596165621633646,-0.13695780227314064
10,50000,10.0,0.45,0.0,0.001,0.001,0.004,15964,201,202,51,0.0007236115633317014,-0.00028628942676730944,0.03670698421812979,-0.15520257047286212,-0.43775603814134767,12.871287128712872,0.34596165621633646,-0.13695780227314064
20,50000,10.0,0.45,0.0,0.001,0.001,0.004,15964,201,202,51,0.0007236115633317014,-0.00028628942676730944,0.03670698421812979,-0.15520257047286212,-0.43775603814134767,12.871287128712872,0.34596165621633646,-0.13695780227314064
5,200000,5.0,0.45,0.0,0.001,0.001,0.004,13292,170,202,76,0.0014045952985208257,-0.00010035519652868083,0.049438173381608275,-0.22670553677016625,-0.5707565478326967,16.831683168316832,0.45556317232815247,-0.032571211227042214
10,200000,5.0,0.45,0.0,0.001,0.001,0.004,13292,170,202,76,0.0014045952985208257,-0.00010035519652868083,0.049438173381608275,-0.22670553677016625,-0.5707565478326967,16.831683168316832,0.45556317232815247,-0.032571211227042214
20,200000,5.0,0.45,0.0,0.001,0.001,0.004,13292,170,202,76,0.0014045952985208257,-0.00010035519652868083,0.049438173381608275,-0.22670553677016625,-0.5707565478326967,16.831683168316832,0.45556317232815247,-0.032571211227042214
5,100000,5.0,0.45,0.0,0.001,0.001,0.004,16205,212,202,79,0.0008634158299404293,-0.0007009406057031361,-0.06691538806248032,-0.3210048363756418,-0.5584239644224305,17.326732673267326,0.2756300552208564,-0.22378074306042023
10,100000,5.0,0.45,0.0,0.001,0.001,0.004,16205,212,202,79,0.0008634158299404293,-0.0007009406057031361,-0.06691538806248032,-0.3210048363756418,-0.5584239644224305,17.326732673267326,0.2756300552208564,-0.22378074306042023
20,100000,5.0,0.45,0.0,0.001,0.001,0.004,16205,212,202,79,0.0008634158299404293,-0.0007009406057031361,-0.06691538806248032,-0.3210048363756418,-0.5584239644224305,17.326732673267326,0.2756300552208564,-0.22378074306042023
5,50000,5.0,0.45,0.0,0.001,0.001,0.004,19664,248,202,84,-0.0014223769052114986,-0.0030857432418451626,-0.42355327506899987,-0.5896826242622413,-0.5476546385715119,17.326732673267326,-0.4401030328197509,-0.9528573425494621
10,50000,5.0,0.45,0.0,0.001,0.001,0.004,19664,248,202,84,-0.0014223769052114986,-0.0030857432418451626,-0.42355327506899987,-0.5896826242622413,-0.5476546385715119,17.326732673267326,-0.4401030328197509,-0.9528573425494621
20,50000,5.0,0.45,0.0,0.001,0.001,0.004,19664,248,202,84,-0.0014223769052114986,-0.0030857432418451626,-0.42355327506899987,-0.5896826242622413,-0.5476546385715119,17.326732673267326,-0.4401030328197509,-0.9528573425494621
10,100000,10.0,0.35,0.0,0.001,0.001,0.004,13521,172,202,200,-0.0035655665982840474,-0.007525962637888009,-0.6124114478530622,-0.8269480921215948,-0.4312729726883556,50.99009900990099,-1.2050853835907558,-2.5433602285521726
5,100000,10.0,0.35,0.0,0.001,0.001,0.004,13521,172,202,200,-0.0035237331532861353,-0.007484129192890098,-0.6142188821213164,-0.8277675006378497,-0.4312729726883556,50.99009900990099,-1.157238010394083,-2.4576511581902785
20,100000,10.0,0.35,0.0,0.001,0.001,0.004,13521,172,202,200,-0.003696920027481462,-0.007657316067085423,-0.6231150025899969,-0.8317469763617145,-0.4312729726883556,50.99009900990099,-1.2456273538891423,-2.579766808771825
10,50000,10.0,0.35,0.0,0.001,0.001,0.004,15964,201,202,200,-0.003722105053675953,-0.007682501093279915,-0.6254577950931697,-0.8327979474491584,-0.43775603814134767,51.48514851485149,-1.2514085844523453,-2.582670045847202
20,50000,10.0,0.35,0.0,0.001,0.001,0.004,15964,201,202,200,-0.0038067356483288896,-0.007767131687932851,-0.6324188853672337,-0.8359189568780198,-0.43775603814134767,51.48514851485149,-1.2752882302901756,-2.6017871030231268
5,50000,10.0,0.35,0.0,0.001,0.001,0.004,15964,201,202,200,-0.0038644253622357977,-0.00782482140183976,-0.6407494141054867,-0.8396596843423156,-0.43775603814134767,51.48514851485149,-1.2638131518378994,-2.5587597305017984
10,200000,10.0,0.35,0.0,0.001,0.001,0.004,11463,140,202,199,-0.00427149154118375,-0.008212085600589693,-0.6662261843584552,-0.8504714345613178,-0.45773196356690604,50.99009900990099,-1.4258806797755414,-2.740851783095991
5,200000,10.0,0.35,0.0,0.001,0.001,0.004,11463,140,202,199,-0.004349465785276783,-0.008290059844682725,-0.6748204373830335,-0.8543430039315394,-0.45773196356690604,50.99009900990099,-1.4204081933612729,-2.7068586647709343
20,200000,10.0,0.35,0.0,0.001,0.001,0.004,11463,140,202,199,-0.004477547776760083,-0.008418141836166026,-0.6801051940827583,-0.8567140931958636,-0.45773196356690604,50.99009900990099,-1.4925830674472103,-2.8056972993433202
20,50000,5.0,0.35,0.0,0.001,0.001,0.004,19664,248,202,202,-0.005500374882960541,-0.009500374882960542,-0.7175573758186431,-0.8750209484370324,-0.5476546385715119,50.0,-2.2817783956335784,-3.941140489444484
10,50000,5.0,0.35,0.0,0.001,0.001,0.004,19664,248,202,202,-0.005953781794969797,-0.009953781794969798,-0.7423402727210492,-0.8860293551296944,-0.5476546385715119,49.504950495049506,-2.4718280889412685,-4.1325057382495824
20,100000,5.0,0.35,0.0,0.001,0.001,0.004,16205,212,202,202,-0.0058702953799203645,-0.009870295379920369,-0.7435949149518214,-0.8865979676610993,-0.5584239644224305,49.504950495049506,-2.2927306839106563,-3.8549898450104934
5,50000,5.0,0.35,0.0,0.001,0.001,0.004,19664,248,202,202,-0.006199754764274913,-0.010199754764274913,-0.7633011137417987,-0.8953516770336652,-0.5476546385715119,45.04950495049505,-2.3160958595700176,-3.810410359179677
10,100000,5.0,0.35,0.0,0.001,0.001,0.004,16205,212,202,202,-0.006290891206422912,-0.010290891206422915,-0.7647799349731271,-0.8960041744432524,-0.5584239644224305,49.00990099009901,-2.4514491315487135,-4.0101784442068755
5,100000,5.0,0.35,0.0,0.001,0.001,0.004,16205,212,202,202,-0.0063287141384444036,-0.010328714138444403,-0.7740734060914515,-0.9001424795111862,-0.5584239644224305,46.03960396039604,-2.256531204262432,-3.682749014009855
20,200000,5.0,0.35,0.0,0.001,0.001,0.004,13292,170,202,202,-0.006784544554038503,-0.010784544554038504,-0.7912656026157974,-0.9077663691775762,-0.5707565478326967,48.51485148514851,-2.516003119808139,-3.999376454462115
10,200000,5.0,0.35,0.0,0.001,0.001,0.004,13292,170,202,202,-0.0070371099981211575,-0.01103710999812116,-0.8017643695677872,-0.9124238297213976,-0.5707565478326967,48.01980198019802,-2.60804959953383,-4.090504527895136
5,200000,5.0,0.35,0.0,0.001,0.001,0.004,13292,170,202,202,-0.00757115554682476,-0.01157115554682476,-0.8267502866268623,-0.9235118029750723,-0.5707565478326967,45.04950495049505,-2.627067657814655,-4.0150025068966615
