model_name,trading_date,symbol,predicted_signal,adjusted_signal,sell_probability,hold_probability,buy_probability,encode_sector,sector,close,volume,target_signal,target_return,predicted_signal_score,signal_confidence,buy_sell_margin,created_at
model3,2024-12-12,ABR,SELL,HOLD,0.45338956,0.2262418,0.32036868,0,0,11.89,5900.0,SELL,-0.11606391925988235,-0.13302088,0.45338956,-0.13302088,2026-06-08 20:08:43
model3,2024-12-13,ABR,BUY,HOLD,0.33556008,0.32294956,0.34149036,0,0,11.06,3000.0,SELL,-0.07414104882459316,0.0059302747,0.34149036,0.0059302747,2026-06-08 20:08:43
model3,2024-12-17,ABR,SELL,HOLD,0.3752196,0.37517038,0.24960996,0,0,10.87,7600.0,SELL,-0.061637534498620083,-0.12560965,0.3752196,-0.12560965,2026-06-08 20:08:43
model3,2024-12-18,ABR,SELL,HOLD,0.47939834,0.27930906,0.24129264,0,0,11.22,6900.0,SELL,-0.08377896613190738,-0.2381057,0.47939834,-0.2381057,2026-06-08 20:08:43
model3,2024-12-19,ABR,BUY,HOLD,0.15744536,0.30686396,0.53569067,0,0,10.51,2300.0,SELL,-0.02949571836346343,0.3782453,0.53569067,0.3782453,2026-06-08 20:08:43
model3,2024-12-20,ABR,BUY,HOLD,0.22487517,0.36605936,0.40906543,0,0,10.51,200.0,BUY,0.026641294005708804,0.18419026,0.40906543,0.18419026,2026-06-08 20:08:43
model3,2024-12-23,ABR,BUY,HOLD,0.16908666,0.35503742,0.47587588,0,0,10.24,4300.0,BUY,0.0458984375,0.30678922,0.47587588,0.30678922,2026-06-08 20:08:43
model3,2024-12-24,ABR,BUY,HOLD,0.22410715,0.37536797,0.4005249,0,0,10.2,200.0,HOLD,0.0,0.17641777,0.4005249,0.17641777,2026-06-08 20:08:43
model3,2024-12-25,ABR,HOLD,HOLD,0.25655538,0.37546995,0.36797467,0,0,10.28,100.0,BUY,0.04961089494163429,0.11141929,0.37546995,0.11141929,2026-06-08 20:08:43
model3,2024-12-26,ABR,HOLD,HOLD,0.23164497,0.44485232,0.3235027,0,0,10.2,200.0,BUY,0.050000000000000266,0.09185772,0.44485232,0.09185772,2026-06-08 20:08:43
model3,2024-12-27,ABR,SELL,HOLD,0.520042,0.27390924,0.20604874,0,0,10.79,100.0,HOLD,-0.022242817423540173,-0.31399328,0.520042,-0.31399328,2026-06-08 20:08:43
model3,2024-12-30,ABR,SELL,HOLD,0.39838326,0.33010456,0.2715122,0,0,10.71,100.0,HOLD,-0.014939309056956174,-0.12687105,0.39838326,-0.12687105,2026-06-08 20:08:43
model3,2024-12-31,ABR,BUY,HOLD,0.23382981,0.34135163,0.42481855,0,0,10.2,1000.0,BUY,0.0696078431372551,0.19098873,0.42481855,0.19098873,2026-06-08 20:08:43
model3,2025-01-02,ABR,SELL,HOLD,0.4835118,0.3050438,0.21144436,0,0,10.79,1000.0,HOLD,-0.01853568118628357,-0.27206743,0.4835118,-0.27206743,2026-06-08 20:08:43
model3,2025-01-08,ABR,SELL,HOLD,0.44595662,0.34266123,0.2113821,0,0,10.71,1900.0,HOLD,0.01867413632119508,-0.23457451,0.44595662,-0.23457451,2026-06-08 20:08:43
model3,2025-01-10,ABR,HOLD,HOLD,0.35452208,0.41051528,0.23496261,0,0,10.55,600.0,BUY,0.034123222748815074,-0.11955947,0.41051528,-0.11955947,2026-06-08 20:08:43
model3,2025-01-14,ABR,HOLD,HOLD,0.26840192,0.44966897,0.28192914,0,0,10.55,700.0,BUY,0.026540284360189403,0.0135272145,0.44966897,0.0135272145,2026-06-08 20:08:43
model3,2025-01-17,ABR,SELL,HOLD,0.49109122,0.31411758,0.1947912,0,0,10.91,1300.0,SELL,-0.04674610449129235,-0.29630002,0.49109122,-0.29630002,2026-06-08 20:08:43
model3,2025-01-21,ABR,HOLD,HOLD,0.21096124,0.41473675,0.37430203,0,0,10.59,1800.0,HOLD,-0.017941454202077378,0.16334079,0.41473675,0.16334079,2026-06-08 20:08:43
model3,2025-02-03,ABR,SELL,HOLD,0.45747054,0.34627837,0.19625105,0,0,10.91,100.0,SELL,-0.04674610449129235,-0.2612195,0.45747054,-0.2612195,2026-06-08 20:08:43
model3,2025-02-04,ABR,HOLD,HOLD,0.21660838,0.47997063,0.303421,0,0,10.91,1400.0,SELL,-0.04674610449129235,0.086812615,0.47997063,0.086812615,2026-06-08 20:08:43
model3,2025-02-06,ABR,HOLD,HOLD,0.22276787,0.50521904,0.2720131,0,0,10.83,2000.0,SELL,-0.03970452446906736,0.049245223,0.50521904,0.049245223,2026-06-08 20:08:43
model3,2025-02-07,ABR,BUY,HOLD,0.16758868,0.38885355,0.4435577,0,0,10.4,100.0,BUY,0.05576923076923079,0.27596903,0.4435577,0.27596903,2026-06-08 20:08:43
model3,2025-02-10,ABR,HOLD,HOLD,0.21162719,0.445215,0.34315783,0,0,10.4,100.0,BUY,0.07115384615384612,0.13153064,0.445215,0.13153064,2026-06-08 20:08:43
model3,2025-02-11,ABR,HOLD,HOLD,0.19910051,0.5410439,0.25985563,0,0,10.4,400.0,HOLD,0.01057692307692304,0.06075512,0.5410439,0.06075512,2026-06-08 20:08:43
model3,2025-02-14,ABR,HOLD,HOLD,0.19362302,0.54593605,0.26044095,0,0,10.4,200.0,HOLD,0.0028846153846153744,0.066817924,0.54593605,0.066817924,2026-06-08 20:08:43
model3,2025-02-17,ABR,HOLD,HOLD,0.20324707,0.545143,0.25160995,0,0,10.4,400.0,BUY,0.049038461538461586,0.04836288,0.545143,0.04836288,2026-06-08 20:08:43
model3,2025-02-19,ABR,HOLD,HOLD,0.3618114,0.42750657,0.21068206,0,0,10.98,2600.0,HOLD,-0.006375227686703178,-0.15112934,0.42750657,-0.15112934,2026-06-08 20:08:43
model3,2025-02-20,ABR,HOLD,HOLD,0.30974185,0.445352,0.24490614,0,0,11.14,2800.0,HOLD,-0.007181328545781018,-0.06483571,0.445352,-0.06483571,2026-06-08 20:08:43
model3,2025-02-24,ABR,HOLD,HOLD,0.21349083,0.41389745,0.3726117,0,0,10.51,100.0,HOLD,0.007611798287345373,0.15912087,0.41389745,0.15912087,2026-06-08 20:08:43
model3,2025-02-25,ABR,HOLD,HOLD,0.15029156,0.47423047,0.37547794,0,0,10.43,600.0,BUY,0.05273250239693206,0.22518638,0.47423047,0.22518638,2026-06-08 20:08:43
model3,2025-02-26,ABR,HOLD,HOLD,0.36669904,0.4249999,0.20830108,0,0,10.91,300.0,HOLD,-0.021998166819431786,-0.15839796,0.4249999,-0.15839796,2026-06-08 20:08:43
model3,2025-02-27,ABR,HOLD,HOLD,0.37246332,0.41570762,0.21182905,0,0,10.91,100.0,SELL,-0.02933088909257564,-0.16063426,0.41570762,-0.16063426,2026-06-08 20:08:43
model3,2025-02-28,ABR,HOLD,HOLD,0.36759493,0.42564377,0.20676126,0,0,11.06,200.0,SELL,-0.04249547920434005,-0.16083367,0.42564377,-0.16083367,2026-06-08 20:08:43
model3,2025-03-05,ABR,HOLD,HOLD,0.20011711,0.53500634,0.26487657,0,0,10.59,300.0,BUY,0.0632672332389046,0.06475946,0.53500634,0.06475946,2026-06-08 20:08:43
model3,2025-03-06,ABR,SELL,HOLD,0.43779472,0.37248057,0.18972471,0,0,10.98,100.0,HOLD,-0.020947176684881663,-0.24807,0.43779472,-0.24807,2026-06-08 20:08:43
model3,2025-03-10,ABR,HOLD,HOLD,0.1535861,0.47067168,0.37574226,0,0,10.67,1600.0,HOLD,-0.007497656982193068,0.22215615,0.47067168,0.22215615,2026-06-08 20:08:43
model3,2025-03-13,ABR,HOLD,HOLD,0.2865012,0.4860814,0.22741738,0,0,10.59,700.0,SELL,-0.029272898961284266,-0.05908382,0.4860814,-0.05908382,2026-06-08 20:08:43
model3,2025-03-14,ABR,HOLD,HOLD,0.21553035,0.47170386,0.3127658,0,0,10.59,100.0,HOLD,-0.021718602455146452,0.097235456,0.47170386,0.097235456,2026-06-08 20:08:43
model3,2025-03-17,ABR,SELL,HOLD,0.5643389,0.27046594,0.16519518,0,0,11.26,100.0,SELL,-0.07637655417406741,-0.39914376,0.5643389,-0.39914376,2026-06-08 20:08:43
model3,2025-03-19,ABR,HOLD,HOLD,0.15609412,0.45811754,0.3857883,0,0,10.75,2600.0,SELL,-0.07999999999999996,0.22969417,0.45811754,0.22969417,2026-06-08 20:08:43
model3,2025-03-20,ABR,HOLD,HOLD,0.21986417,0.50381917,0.27631664,0,0,10.59,300.0,SELL,-0.05571293673276678,0.056452468,0.50381917,0.056452468,2026-06-08 20:08:43
model3,2025-03-21,ABR,BUY,HOLD,0.13282867,0.40101662,0.46615472,0,0,10.28,2500.0,HOLD,-0.01945525291828787,0.33332604,0.46615472,0.33332604,2026-06-08 20:08:43
model3,2025-03-24,ABR,HOLD,HOLD,0.21949023,0.4502734,0.33023632,0,0,10.36,100.0,HOLD,-0.019305019305019266,0.110746086,0.4502734,0.110746086,2026-06-08 20:08:43
model3,2025-03-26,ABR,HOLD,HOLD,0.19199666,0.49267784,0.3153255,0,0,10.4,600.0,SELL,-0.06442307692307692,0.123328835,0.49267784,0.123328835,2026-06-08 20:08:43
model3,2025-03-27,ABR,BUY,HOLD,0.13758318,0.29250997,0.56990683,0,0,9.89,2900.0,SELL,-0.06370070778564219,0.43232363,0.56990683,0.43232363,2026-06-08 20:08:43
