fold_id,train_start_date,train_end_date,validation_start_date,validation_end_date,test_start_date,test_end_date,best_iteration,MAE,RMSE,MAPE,R2,Return_MAE,Return_RMSE,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,Baseline_MAPE,Baseline_Return_MAE,Baseline_Return_RMSE,Baseline_Directional_Accuracy,Return_MAE_Improvement,Return_RMSE_Improvement,Directional_Accuracy_Over_Baseline,Beats_Baseline_Return_MAE
1,2015-12-04,2021-02-24,2021-02-25,2022-03-11,2022-03-14,2023-03-28,891,0.850538582702111,1.6658735426823197,5.516217208154709,0.9914148924514202,0.053196165664872,0.07080995333749239,50.13660843294365,0.8465604886378563,1.6642738046154781,5.462010801792784,0.052949610914173655,0.07088468226684479,60.11690529357677,-0.00024655475069834676,7.472892935239672e-05,-9.980296860633118,False
2,2015-12-04,2022-03-11,2022-03-14,2023-03-28,2023-03-29,2024-04-11,656,0.5920694469107742,1.145784392440569,3.932956410004957,0.9950926632755781,0.03968748014575219,0.0560867143635914,56.37462389719007,0.5839128716405733,1.1423515035988228,3.959308015657486,0.03950312144570175,0.05662671307410913,54.635626498036615,-0.00018435870005044375,0.0005399987105177279,1.7389973991534546,False
3,2015-12-04,2023-03-28,2023-03-29,2024-04-11,2024-04-12,2025-05-05,297,0.6971911688416138,1.4258458423071654,3.849966220497018,0.9952449963916095,0.03828716211864537,0.0548188646912512,53.285792231851694,0.7059379004935984,1.453572385372087,3.914000143296538,0.03889013560822668,0.0564786460405456,56.45294319176743,0.0006029734895813058,0.001659781349294405,-3.1671509599157375,True
4,2015-12-04,2024-04-11,2024-04-12,2025-05-05,2025-05-06,2026-05-21,531,0.7658416805914117,1.7220879538154876,3.5798531904574578,0.994712891559795,0.03563511058339547,0.05144403067453657,54.108287516785325,0.7767526413134359,1.7590078321452565,3.648238210004201,0.03627468108165041,0.053149677714643996,58.07089107907471,0.0006395704982549433,0.001705647040107429,-3.962603562289388,True
